audio_file_absolute_path,audio_file_relative_path,min_amplitude_absolute
D:\application-programming-labs-2025\sounds\transport_001_transport_sound.mp3,sounds\transport_001_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_002_transport_sound.mp3,sounds\transport_002_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_003_transport_sound.mp3,sounds\transport_003_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_004_transport_sound.mp3,sounds\transport_004_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_005_transport_sound.mp3,sounds\transport_005_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_006_transport_sound.mp3,sounds\transport_006_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_007_transport_sound.mp3,sounds\transport_007_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_008_transport_sound.mp3,sounds\transport_008_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_009_transport_sound.mp3,sounds\transport_009_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_010_transport_sound.mp3,sounds\transport_010_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_011_transport_sound.mp3,sounds\transport_011_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_012_transport_sound.mp3,sounds\transport_012_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_013_transport_sound.mp3,sounds\transport_013_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_014_transport_sound.mp3,sounds\transport_014_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_015_transport_sound.mp3,sounds\transport_015_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_016_transport_sound.mp3,sounds\transport_016_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_017_transport_sound.mp3,sounds\transport_017_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_018_transport_sound.mp3,sounds\transport_018_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_019_transport_sound.mp3,sounds\transport_019_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_020_transport_sound.mp3,sounds\transport_020_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_021_transport_sound.mp3,sounds\transport_021_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_022_transport_sound.mp3,sounds\transport_022_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_023_transport_sound.mp3,sounds\transport_023_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_024_transport_sound.mp3,sounds\transport_024_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_025_transport_sound.mp3,sounds\transport_025_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_026_transport_sound.mp3,sounds\transport_026_transport_sound.mp3,0.0
